id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price
32750134,Breezy Sun Room with Private Bath San Francisco,79715071,,Outer Richmond,37.78057,-122.48535,Entire home/apt,32
32766126,Queen Anne Victorian Month Minimum Apartment! New!,3336200,,Haight Ashbury,37.7722,-122.4473,Entire home/apt,299
32766699,"Luxury upper flat Marina, 1 block from Bay",28996560,,Marina,37.80377,-122.44342,Entire home/apt,283
32769581,Cozy Neighborhood Charm in the City,4661428,,Outer Mission,37.73219,-122.44303,Entire home/apt,350
32770430,Bright Spacious 2 Bedroom Parkside Free Parking,81513590,,Parkside,37.74266,-122.47925,Entire home/apt,188
32783075,Newly Furnished apt in  a quiet neighborhood,10577964,,Outer Mission,37.73017,-122.44162,Entire home/apt,175
32784631,Nopa 3 bedroom apartment (rental of 1 room),10501924,,Western Addition,37.77957,-122.44192,Private room,60
32788121,In Heart of Union Square-Hotel Style studio Suite,70722023,,Financial District,37.78962,-122.40617,Entire home/apt,60
32789669,Completely Private Charming Peaceful Garden Cabin,4318558,,Bernal Heights,37.73774,-122.417,Entire home/apt,126
32795849,Long term stay - Room in a cozy and quiet home,44800516,,Crocker Amazon,37.70894,-122.43691,Private room,40
32812271,❤️ Luxury 2BR Condo ❤️ Fairmont Ghirardelli Sq. ❤️,97159379,,Russian Hill,37.80457,-122.42257,Private room,751
32813435,"311C Private Room in Super Convenient Area, Room C",127638239,,Inner Richmond,37.78354,-122.4621,Private room,70
32822227,Central location in UNION SQUARE at THE DONATELLO,64646820,,Downtown/Civic Center,37.78876,-122.41116,Private room,209
32823963,Located in Fisherman's Wharf-sleeps 6,64646820,,Russian Hill,37.80458,-122.4201,Entire home/apt,189
32824201,Spacious Hilltop Suite + Ocean View,9176247,,Ocean View,37.71481,-122.46782,Entire home/apt,68
32838123,Richmond Charmer,173416916,,Inner Richmond,37.77523,-122.47098,Entire home/apt,117
32838203,Central Victorian Lower,173416916,,Haight Ashbury,37.77008,-122.4428,Entire home/apt,132
32842243,Spacious/Bright Downtown 1x1 w/ Views!,4430421,,Downtown/Civic Center,37.78628,-122.41652,Entire home/apt,108
32845190,Spacious/Remodeled Downtown 2x1 w/ the Essentials,4430421,,Downtown/Civic Center,37.78448,-122.41447,Entire home/apt,130
32861856,WONDERFUL LOCATION IN UNION SQUARE- THE DONATELLO,64646820,,Downtown/Civic Center,37.78688,-122.4102,Private room,199
32867573,Chase Center - BART  - Dorm Style Private Room,103884979,,South of Market,37.77628,-122.41507,Hotel room,56
32870699,AWESOME LOCATION-SUITES AT FISHERMAN'S WHARF,64646820,,Russian Hill,37.80639,-122.42144,Private room,144
32871760,"Hill Street Home, Sanctuary in Heart of the City",2919348,,Mission,37.75652,-122.42298,Entire home/apt,225
32890587,"Spacious South Beach 2BR w/ 3 Pools, Cinema, near MUNI, by Blueground",107434423,,South of Market,37.783989,-122.389839,Entire home/apt,232
32891490,Statuesque 3/2 Family Home Near UCSF-Inner Sunset,988375,,Inner Sunset,37.76337,-122.47628,Entire home/apt,205
32891625,"Large Garden Apt  - Near GG Park, Ocean Beach",988375,,Outer Sunset,37.75755,-122.49434,Entire home/apt,129
32898423,Comfortable 1 bedroom in Russian Hill,150732464,,Nob Hill,37.79591,-122.41812,Entire home/apt,85
32920800,Awesome location in Union Square at THE DONATELLO,64646820,,Downtown/Civic Center,37.78878,-122.40984,Private room,172
32921329,Cozy Place for Young Professional,137211962,,Inner Sunset,37.76171,-122.47289,Private room,30
32921680,"Pristine WFH in the Sky, In-Unit Laundry, KING bed",10456230,,South of Market,37.77778,-122.41445,Private room,157
32921792,STAY IN UNION SQUARE AT THE DONATELLO,64646820,,Downtown/Civic Center,37.78672,-122.41119,Private room,199
32941329,Studio at Donatello Hotel near Union Square,47514427,,Downtown/Civic Center,37.78681,-122.41071,Private room,304
32945280,Charming Private bedroom 2 by GGP and Ocean Beach,172278627,,Outer Richmond,37.77267,-122.50858,Private room,85
32945668,Charming Private bedroom 1 by GGP and Ocean Beach,172278627,,Outer Richmond,37.7729,-122.50878,Private room,80
32945670,2 Bedroom 1 Bath Located in SOMA/South of Market,13832870,,South of Market,37.77945,-122.40117,Entire home/apt,139
32962090,Entire Garden Suite w/Private Entry+Parking/BART,4464641,,Glen Park,37.7373,-122.43884,Entire home/apt,120
32983188,Soaring Views of City - Tri-Level Townhome,988375,,Diamond Heights,37.74219,-122.43676,Entire home/apt,499
33015887,Detached Rear Yard Garden Cottage,46079176,,Castro/Upper Market,37.76162,-122.42855,Entire home/apt,250
33017026,City and Nature,110003688,,Seacliff,37.78765,-122.48575,Private room,70
33021274,Key Union Square Location -Great Hotel Style Suite,70722023,,Downtown/Civic Center,37.78989,-122.40808,Entire home/apt,60
33021652,Outstanding Hotel Style Suite in Union Square,70722023,,Downtown/Civic Center,37.78964,-122.40753,Entire home/apt,60
33022608,Downtown Great location - With FREE Parking,248548754,,South of Market,37.78765,-122.3886,Entire home/apt,160
33050224,Brand new modern apartment in Portola,248760206,,Excelsior,37.72608,-122.42405,Entire home/apt,98
33054543,"Enviable South Beach 2BR w/ Pools, Cinema, Spas, at the Bay by Blueground",107434423,,South of Market,37.784828,-122.389923,Entire home/apt,297
33069292,BEAUTIFUL BOUTIQUE HOTEL-sleeps 2-Hayes Valley,64646820,,Downtown/Civic Center,37.77961,-122.42179,Private room,147
33078270,Cozy Bedroom + Private Bathroom near SFO Airport,248954799,,Visitacion Valley,37.71336,-122.40852,Private room,57
33079877,"""The Japan Room""  Mission District House",29483318,,Mission,37.75168,-122.40769,Private room,69
33083892,"Modern SoMa 1BR w/ Gym, Garden, EV Charging by Tech HQs, by Blueground",107434423,,South of Market,37.77412,-122.40845,Entire home/apt,207
33091231,FANTASTIC LOCATION-THE DONATELLO IN UNION SQUARE,64646820,,Downtown/Civic Center,37.78864,-122.40935,Private room,197
33115200,Ashbury Heights 1 BR Garden Apartment,174219801,,Haight Ashbury,37.76498,-122.44416,Entire home/apt,120
